Data,Vacinados
25/01/2021 04:10,131027
25/01/2021 04:15,131029
25/01/2021 04:15,131029
25/01/2021 04:25,131031
25/01/2021 04:30,131033
25/01/2021 04:35,131034
25/01/2021 04:35,131034
25/01/2021 04:40,131036
25/01/2021 04:45,131038
25/01/2021 04:55,131040
25/01/2021 04:55,131040
25/01/2021 04:55,131040
25/01/2021 04:55,131040
25/01/2021 04:55,131040
25/01/2021 04:55,131040
25/01/2021 04:55,131040
25/01/2021 04:55,131040
25/01/2021 04:55,131040
25/01/2021 04:55,131040
25/01/2021 04:55,131040
25/01/2021 04:55,131040
25/01/2021 04:55,131040
25/01/2021 04:55,131040
25/01/2021 04:55,131040
25/01/2021 04:55,131040
25/01/2021 04:55,131040
25/01/2021 04:55,131040
25/01/2021 06:30,131045
25/01/2021 06:35,131049
25/01/2021 06:35,131049
25/01/2021 06:40,131060
25/01/2021 06:50,131067
25/01/2021 06:55,131078
25/01/2021 06:55,131078
25/01/2021 07:05,131110
25/01/2021 07:10,131129
25/01/2021 07:20,131193
25/01/2021 07:20,131193
25/01/2021 07:25,131199
25/01/2021 07:30,131243
25/01/2021 07:35,131332
25/01/2021 07:35,131332
25/01/2021 07:40,131395
25/01/2021 07:50,131540
25/01/2021 07:55,131627
25/01/2021 07:55,131627
25/01/2021 08:05,131761
25/01/2021 08:10,131813
25/01/2021 08:20,132058
25/01/2021 08:20,132058
25/01/2021 08:20,132058
25/01/2021 08:30,132320
25/01/2021 08:35,132419
25/01/2021 08:35,132419
25/01/2021 08:40,132451
25/01/2021 08:50,132853
25/01/2021 08:55,132905
25/01/2021 08:55,132905
25/01/2021 09:05,133375
25/01/2021 09:10,133557
25/01/2021 09:15,134091
25/01/2021 09:20,134311
25/01/2021 09:20,134311
25/01/2021 09:30,134727
25/01/2021 09:35,134744
25/01/2021 09:40,135158
25/01/2021 09:40,135158
25/01/2021 09:50,135605
25/01/2021 09:55,135829
25/01/2021 10:05,136223
25/01/2021 10:05,136223
25/01/2021 10:10,136358
25/01/2021 10:15,136658
25/01/2021 10:20,136956
25/01/2021 10:20,136956
25/01/2021 10:30,137277
25/01/2021 10:35,137540
25/01/2021 10:40,137800
25/01/2021 10:40,137800
25/01/2021 10:50,138310
25/01/2021 10:55,138518
25/01/2021 11:05,139152
25/01/2021 11:05,139152
25/01/2021 11:10,139428
25/01/2021 11:15,139618
25/01/2021 11:25,139906
25/01/2021 11:25,139906
25/01/2021 11:30,140085
25/01/2021 11:35,140488
25/01/2021 11:40,140734
25/01/2021 11:40,140734
25/01/2021 11:45,140773
25/01/2021 11:55,141180
25/01/2021 12:05,141400
25/01/2021 12:05,141400
25/01/2021 12:10,141502
25/01/2021 12:15,141613
