Data,Vacinados,Delta
2021-01-25 07:25:00,131199,6.0
2021-01-25 07:30:00,131243,44.0
2021-01-25 07:35:00,131332,89.0
2021-01-25 07:40:00,131395,63.0
2021-01-25 07:50:00,131540,145.0
2021-01-25 07:55:00,131627,87.0
2021-01-25 08:05:00,131761,134.0
2021-01-25 08:10:00,131813,52.0
2021-01-25 08:20:00,132058,245.0
2021-01-25 08:30:00,132320,262.0
2021-01-25 08:35:00,132419,99.0
2021-01-25 08:40:00,132451,32.0
2021-01-25 08:50:00,132853,402.0
2021-01-25 08:55:00,132905,52.0
2021-01-25 09:05:00,133375,470.0
2021-01-25 09:10:00,133557,182.0
2021-01-25 09:15:00,134091,534.0
2021-01-25 09:20:00,134311,220.0
2021-01-25 09:30:00,134727,416.0
2021-01-25 09:35:00,134744,17.0
2021-01-25 09:40:00,135158,414.0
2021-01-25 09:50:00,135605,447.0
2021-01-25 09:55:00,135829,224.0
2021-01-25 10:05:00,136223,394.0
2021-01-25 10:10:00,136358,135.0
2021-01-25 10:15:00,136658,300.0
2021-01-25 10:20:00,136956,298.0
2021-01-25 10:30:00,137277,321.0
2021-01-25 10:35:00,137540,263.0
2021-01-25 10:40:00,137800,260.0
2021-01-25 10:50:00,138310,510.0
2021-01-25 10:55:00,138518,208.0
2021-01-25 11:05:00,139152,634.0
2021-01-25 11:10:00,139428,276.0
2021-01-25 11:15:00,139618,190.0
2021-01-25 11:25:00,139906,288.0
2021-01-25 11:30:00,140085,179.0
2021-01-25 11:35:00,140488,403.0
2021-01-25 11:40:00,140734,246.0
2021-01-25 11:45:00,140773,39.0
2021-01-25 11:55:00,141180,407.0
2021-01-25 12:05:00,141400,220.0
2021-01-25 12:10:00,141502,102.0
2021-01-25 12:15:00,141613,111.0
2021-01-25 12:20:00,141869,256.0
2021-01-25 12:25:00,142096,227.0
2021-01-25 12:35:00,142441,345.0
2021-01-25 12:40:00,142665,224.0
2021-01-25 12:50:00,142890,225.0
2021-01-25 12:55:00,143081,191.0
2021-01-25 13:05:00,143481,400.0
2021-01-25 13:10:00,143690,209.0
2021-01-25 13:20:00,143976,286.0
2021-01-25 13:30:00,144234,258.0
2021-01-25 13:35:00,144311,77.0
2021-01-25 13:40:00,144429,118.0
2021-01-25 13:50:00,144527,98.0
2021-01-25 13:55:00,144546,19.0
2021-01-25 14:05:00,144606,60.0
2021-01-25 14:10:00,144636,30.0
